study_identifier,participant.id_in_session,participant.code,participant.label,participant._current_page_name,participant.not_matched,session.code,consent.1.player.id_in_group,consent.1.player.prolific_id,consent.1.group.id_in_subsession,flip_task.1.player.num_heads,flip_task.1.player.total_guess_group_heads,flip_task.2.player.id_in_group,flip_task.2.player.payoff,flip_task.2.player.flip_time_seconds,flip_task.2.player.num_heads,flip_task.2.player.average_group_heads_reported,flip_task.2.player.treat,flip_task.2.player.treat_string,flip_task.2.player.not_matched,flip_task.2.group.id_in_subsession,flip_task.2.group.group_payoff,survey.1.player.bonus_cents,survey.1.player.most_common_head,survey.1.player.flip_misreporting,survey.1.player.flip_shirking,survey.1.player.household_satisfy,survey.1.player.attention_fatal,survey.1.player.bfi_is_reserved,survey.1.player.bfi_is_trust,survey.1.player.bfi_does_job,survey.1.player.bfi_is_relaxed,survey.1.player.bfi_active_imag,survey.1.player.bfi_is_social,survey.1.player.bfi_fault,survey.1.player.bfi_lazy,survey.1.player.bfi_nervous,survey.1.player.bfi_artistic,survey2.1.player.lie_misrepresent,survey2.1.player.lie_shirking,survey2.1.player.lie_significant_other,survey2.1.player.lie_dating,survey2.1.player.lie_taxes,survey2.1.player.misreport_time_seconds,survey2.1.player.misreport,survey2.1.player.misreport_justify,survey2.1.player.misreport_paste_status,Participant id,Status,Started at,Completed at,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,avg_group_heads,flip_payoff,bonus_cent,final_bonus_dollars,survey2.1.player.misreport_justify_time_seconds,debrief.1.player.debrief_time_seconds,Unnamed: 0,bulk_approve
24_0828_Control_1_20,12,93ysbhyi,600d42054c6aca502873f752,Debrief,,x851ti1z,12,600d42054c6aca502873f752,1,10000,,12,50,96,5,,0,Control,0,1,,10,5,0,0,3,0,1,4,2,3,2,4,5,2,2,3,0,0,18,0,0,9,0,I think that under any circumstances lying is not justified. I think maybe people did not have a coin and they misrepresented their results but this is not acceptable. So it is not justifiable under any circumstances.  I think people may misrepresent themselves because they want to complete the task and dont have access to the items needed ,,600d42054c6aca502873f752,APPROVED,2024-08-28T15:30:09.820000Z,2024-08-28T15:41:37.548000Z,1383,40,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,,,,0.6,,,,
24_0828_Control_1_20,13,zmhtrdc9,66c42da12cca15dd8d446e9a,Debrief,,x851ti1z,13,66c42da12cca15dd8d446e9a,1,10000,,13,50,30,5,,0,Control,0,1,,10,5,75,70,2,0,1,1,2,4,2,5,1,1,1,6,0,0,0,10,0,6,0,"I believe misreporting can be justified when it comes to skewing data for a business practice or company that you do not personally trust to have correct data. This can in turn cause issues if they ever have any major influence, however this can cause them to have wrong data that can prevent them from ever getting there.",,66c42da12cca15dd8d446e9a,APPROVED,2024-08-28T15:31:23.309000Z,2024-08-28T15:37:28.045000Z,41,20,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),,,,0.6,,,,
24_0828_Control_1_20,14,4dapl57d,66bb3b51475c1232d474aa87,Debrief,,x851ti1z,14,66bb3b51475c1232d474aa87,1,10000,,14,40,13,4,,0,Control,0,1,,10,5,60,50,8,0,1,1,1,4,4,5,2,5,5,5,0,0,0,0,0,6,0,"I don’t believe intentionally misreporting could ever be considered justified. The goal of these surveys is to help others gain knowledge for their research purposes. Misreporting would only give the researcher false information. I suppose there could be instances where the survey taker misunderstood or had a technical error leading to misreporting. In those cases however, I would expect the individual to communicate those errors at the end of the survey. I’ve had to do that before. ",,66bb3b51475c1232d474aa87,APPROVED,2024-08-28T15:31:43.134000Z,2024-08-28T15:48:01.477000Z,43,35,Female,White,United States,United States,United States,English,No,Full-Time,,,,0.5,,,,
24_0828_Control_1_20,15,i5grqfhv,663e761e9c3a32475d273701,Debrief,,x851ti1z,15,663e761e9c3a32475d273701,1,10000,,15,60,151,6,,0,Control,0,1,,10,5,2,3,8,0,1,1,1,1,1,4,2,4,2,1,0,0,0,0,0,7,0,"I don't really see a situation where misreporting the coin flip would be justifiable since everybody volunteered to participate in the study. It isn't all that difficult to flip and coin and record the outcome on a piece of paper. The entire survey has been quite quick, and I'm happy to have participated in your study.",,663e761e9c3a32475d273701,APPROVED,2024-08-28T15:32:20.615000Z,2024-08-28T15:45:59.371000Z,98,31,Female,Mixed,United States,United States,United States,English,No,Part-Time,,,,0.7,,,,
24_0828_Control_1_20,16,21kz4mjp,5ebdbfe983b374101d24ccaf,Debrief,,x851ti1z,16,5ebdbfe983b374101d24ccaf,1,10000,,16,40,61,4,,0,Control,0,1,,0,7,80,75,3,0,2,2,1,1,1,4,2,2,4,4,0,0,60,0,10,8,0,"There are not many situations where mis-reporting should be allowed or justified. I guess if the person taking the survey lost access to their coin on the last flip. But, under what circumstances would this occur? So, in my opinion there is little no no reason to mis-report other than an attempt to take advantage.",,5ebdbfe983b374101d24ccaf,APPROVED,2024-08-28T15:32:24.027000Z,2024-08-28T15:45:07.517000Z,499,28,Male,Black,United States,United States,United States,English,Yes,Full-Time,,,,0.4,,,,
24_0828_Control_1_20,18,jg6jrfg8,5a0071766e1ea9000124db35,Debrief,,x851ti1z,18,5a0071766e1ea9000124db35,1,10000,,18,50,62,5,,0,Control,0,1,,10,5,5,8,9,0,1,2,2,1,3,5,3,4,4,1,0,0,0,0,0,13,0,"I can't think of any circumstance that would justify misreporting the results. I feel that the researcher put forth the time, effort and money to set up this experiment and deserves to get quality results. I'm also sure, that even though I may not understand what it may provide or how the data is used, it will go towards furthering science and understanding in a meaningful way.",,5a0071766e1ea9000124db35,APPROVED,2024-08-28T15:32:44.825000Z,2024-08-28T15:47:40.903000Z,2817,56,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,,,0.6,,,,
24_0828_Control_1_20,19,k9t26p7r,668861435d486bf277cf78e9,Debrief,,x851ti1z,19,668861435d486bf277cf78e9,1,10000,,19,40,5,4,,0,Control,0,1,,0,6,33,80,5,0,2,4,2,2,1,4,5,4,4,4,5,13,66,39,100,5,1,"If someone did not have a coin, and they just followed the most common tosses which was 5. Another justifiable misreport could be if they did not have any hands to actually toss the coin. Another could be their financial situation that could hinder their value on the task.",,668861435d486bf277cf78e9,APPROVED,2024-08-28T15:33:04.794000Z,2024-08-28T15:40:06.235000Z,42,25,Female,Asian,United States,United States,United States,English,Yes,Full-Time,,,,0.4,,,,
24_0828_Control_1_20,20,wh91vxix,66496a340a81523c23700b6c,Debrief,,x851ti1z,20,66496a340a81523c23700b6c,1,10000,,20,50,181,5,,0,Control,0,1,,0,6,47,54,0,0,1,4,2,2,4,4,2,1,4,4,0,1,53,0,53,11,0,"Misreporting cannot be justified under any circumstances. If the participants are not able to report honest answers, they do should not continue the study. They should close out the study and end it. They should not be willing to lie about their answers for the sake of earning some money.",,66496a340a81523c23700b6c,APPROVED,2024-08-28T15:33:07.293000Z,2024-08-28T15:50:30.320000Z,166,44,Female,White,United States,United States,United States,English,No,Part-Time,,,,0.5,,,,
24_0828_Control_1_20,22,lr6hl7lx,632a431da6f161fcb809ed01,Debrief,,x851ti1z,22,632a431da6f161fcb809ed01,1,10000,,22,60,35,6,,0,Control,0,1,,0,7,30,39,7,0,4,2,1,1,2,1,4,5,5,5,0,0,0,55,54,6,0,"It might be justifiable if you were going to use the bonus money you had made off of this study to feed your family. It also might be justified if you were going to give it to a charitable cars and we’re gonna give it to a good cause that would help other people and we’re not just selfishly keep it for yourself. It might be OK to misrepresent if it was a life or death situation where you really need the money, and if you didn’t have the money you might die.",,632a431da6f161fcb809ed01,APPROVED,2024-08-28T15:34:05.981000Z,2024-08-28T15:41:09.750000Z,5552,54,Male,White,United States,United States,United States,English,Yes,Full-Time,,,,0.6,,,,
24_0828_Control_1_20,23,wvau4k6j,5aa9153235237b00011322e9,Debrief,,x851ti1z,23,5aa9153235237b00011322e9,1,10000,,23,40,49,4,,0,Control,0,1,,10,5,75,70,0,0,1,1,1,2,1,5,2,5,2,3,0,0,0,0,0,7,0,"If I had to guess, I would say for someone who may be desperately in need of money, they may lie in order to quickly get to the next survey. We have no way of knowing what they may need money for. I once had an internet job in where I had to lie to customers and I felt bad about it, but I had no other income",,5aa9153235237b00011322e9,APPROVED,2024-08-28T15:34:12.968000Z,2024-08-28T15:45:07.207000Z,5014,36,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,,,0.5,,,,
24_0828_Control_1_20,24,ve3y17zh,63d4006208ab744ffe560182,Debrief,,x851ti1z,24,63d4006208ab744ffe560182,1,10000,,24,50,57,5,,0,Control,0,1,,10,5,13,31,3,0,2,5,2,3,2,4,2,4,2,5,0,2,0,0,0,8,0,"Circumstances under which misreporting might be justifiable, in my own words, could include a situation where someone doesn't have access to a coin because they are dirt poor and they live in a shack and they can't afford rent and they can't afford the bills and they can't afford food and they don't have a job and they don't have a coin and they can't flip a coin because they don't have a coin",,63d4006208ab744ffe560182,APPROVED,2024-08-28T15:34:22.608000Z,2024-08-28T15:41:29.755000Z,1118,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,,,,0.6,,,,
24_0828_Control_1_20,25,ilun6qyw,63d13c066352266a8621cc2a,Debrief,,x851ti1z,25,63d13c066352266a8621cc2a,1,10000,,25,60,6,6,,0,Control,0,1,,10,5,29,69,1,0,2,3,2,2,2,3,3,4,3,3,0,0,0,0,0,5,0,"I don't think a misreportint is justifiable.  However, I could understand if someone forget what happened that they might report to the best of their ability.  I would also guess if someone wanted to do better than they did they would report that as well.  Not justifiable but understandable.",,63d13c066352266a8621cc2a,APPROVED,2024-08-28T15:50:57.777000Z,2024-08-28T15:57:16.168000Z,2809,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,,,0.7,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,1,zjakcvto,60fda9fd639a4072faf56ec0,Debrief,,cjz1zksm,1,60fda9fd639a4072faf56ec0,1,10000,22,1,60,53,6,,1,Treatment1,0,2,,0,6,70,60,4,0,,,,,,,,,,,0,20,0,0,0,9,0,Can’t find a coin but already participated in the survey might be a justifiable reason to misreport information. Again I am unable to submit although I have more than 200 characters so I will just keep typing until it lets me submit ,,60fda9fd639a4072faf56ec0,APPROVED,2024-08-29T16:46:44.651000Z,2024-08-29T17:00:38.512000Z,134,33,Female,Other,United States,United States,Puerto Rico,English,No,Full-Time,,60,0,0.6,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,2,fbyglhyf,667a3ea3429027d377819d6a,Debrief,,cjz1zksm,2,667a3ea3429027d377819d6a,1,10000,16,2,60,30,6,,1,Treatment1,0,2,,0,6,15,5,7,0,,,,,,,,,,,0,0,10,0,0,6,0,"I didn't misreport anything.  I have always done the surveys truthfully and honestly.  I do not know why people would want to misreport any activities or in surveys. I had never thought of not reporting things honestly and completely, even if there is no actual way to confirm wether or not the answers provided are true and accurate.",,667a3ea3429027d377819d6a,APPROVED,2024-08-29T16:47:53.613000Z,2024-08-29T17:05:18.733000Z,35,54,Female,White,DATA_EXPIRED,United States,United States,English,No,DATA_EXPIRED,,60,0,0.6,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,3,84a54214,669bd4bd9e48b4e677c12a5b,Debrief,,cjz1zksm,3,669bd4bd9e48b4e677c12a5b,1,10000,13,3,50,53,5,,1,Treatment1,0,2,,0,4,15,10,6,0,,,,,,,,,,,1,5,0,0,0,8,0,"In this specific scenario I don't think it can really be justified because you could have chosen to simply not take the survey instead of living about your results of the coin flip. In other scenarios I also don't think misreporting is ever okay, correct data can be detrimental to people.",,669bd4bd9e48b4e677c12a5b,APPROVED,2024-08-29T16:49:52.765000Z,2024-08-29T17:03:18.703000Z,104,28,Female,White,United States,United States,United States,English,No,Full-Time,,50,0,0.5,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,4,gapt7i5m,66ae9e3275a8b0577f3bd610,Debrief,,cjz1zksm,4,66ae9e3275a8b0577f3bd610,1,10000,24,1,40,10,4,,1,Treatment1,0,3,,0,7,19,80,10,0,,,,,,,,,,,0,0,0,0,0,9,0,In a judicial system I don’t believe any data should be misreported. In the federal system data is misreported all the time and it creates mistrust. Trust is a finite resource and the only time I believe misreporting data would be justifiable is if an innocent life was on the line. ,,66ae9e3275a8b0577f3bd610,APPROVED,2024-08-29T16:51:35.804000Z,2024-08-29T17:00:53.869000Z,51,32,Male,Asian,United States,United States,United States,Spanish,Yes,Full-Time,,40,0,0.4,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,6,t5pxwbra,614e0f70c4f1690a32f4b1a4,Debrief,,cjz1zksm,6,614e0f70c4f1690a32f4b1a4,1,10000,16,2,60,13,6,,1,Treatment1,0,3,,0,6,35,35,7,0,,,,,,,,,,,0,0,14,0,13,6,0,"In general I would say never if we are talking about surveys. To misrepresent just messes things up and it's not required so it doesn't make sense to me. If it's in other areas, it would be very limited to instances where your health or well-being is in jeopardy but even this probably gives too much leeway.",,614e0f70c4f1690a32f4b1a4,APPROVED,2024-08-29T16:53:19.227000Z,2024-08-29T17:03:43.461000Z,5027,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,60,0,0.6,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,8,vomh6ej5,6286b2b633eaea5194b9ba13,Debrief,,cjz1zksm,8,6286b2b633eaea5194b9ba13,1,10000,13,1,50,57,5,,1,Treatment1,0,6,,10,5,21,21,3,0,,,,,,,,,,,0,0,0,0,0,9,0,Misreporting could be justified if the task at hand couldn't be completed. Cases such as a person not having a proper coin or simply not having the space to not do a coin flip. There could be also potential for substitutes that were used than a coin flip.,,6286b2b633eaea5194b9ba13,APPROVED,2024-08-29T16:57:07.143000Z,2024-08-29T17:29:28.047000Z,597,21,Male,White,United States,United States,United States,Spanish,Yes,DATA_EXPIRED,,50,10,0.6,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,9,cac4uogo,66bd061140edcc48bf65322d,Debrief,,cjz1zksm,9,66bd061140edcc48bf65322d,1,10000,17,1,60,19,6,,1,Treatment1,0,5,,10,5,90,90,0,0,,,,,,,,,,,0,0,4,0,0,11,1,"There doesn't really appear to be a time that misreporting is justified. I honestly just figured that with a coin flip 10 times the results would end up being close to 50/50. I suspect that the human mind by default would come to this conclusion, particularly in an anonymous setting.",,66bd061140edcc48bf65322d,APPROVED,2024-08-29T17:00:25.712000Z,2024-08-29T17:14:13.146000Z,3,41,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,,60,10,0.7,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,10,x7myi9gz,66d09dad41bc8f7994183387,Debrief,,cjz1zksm,10,66d09dad41bc8f7994183387@email.prolific.com,1,10000,21,2,50,59,5,,1,Treatment1,0,5,,0,7,71,74,10,0,,,,,,,,,,,0,0,7,0,6,10,0,"In my opinion, I believe that misrepresentation could be justified if a person is in extreme financial distress and need the money in a life or death type of situation. I think that honesty is becoming a lost personality trait and the only ""justifiable"" reason is if a dine would actually make a difference in your life.",,66d09dad41bc8f7994183387,APPROVED,2024-08-29T17:00:54.116000Z,2024-08-29T17:12:18.488000Z,3,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,50,0,0.5,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,13,na9tdurk,6630f2a2c5912d7f4d93938b,Debrief,,cjz1zksm,13,6630f2a2c5912d7f4d93938b,1,10000,16,2,50,9,5,,1,Treatment1,0,6,,10,5,21,20,1,0,,,,,,,,,,,0,0,0,0,0,4,0,"I am unsure about the study in particular. But in other situations I immediately thought of when other people are like, ""What have you been up to?"" and your vague response is, ""Working"" when you really haven't. In that case that doesn't really affect something like a study like this?",,6630f2a2c5912d7f4d93938b,APPROVED,2024-08-29T17:01:40.688000Z,2024-08-29T17:08:04.126000Z,426,36,Female,Asian,United States,United States,United States,English,No,Other,,50,10,0.6,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,14,h2ee625g,654fbd224eaf197c8678bd57,Debrief,,cjz1zksm,14,654fbd224eaf197c8678bd57,1,10000,13,3,50,11,5,,1,Treatment1,0,5,,10,5,31,10,6,0,,,,,,,,,,,21,28,16,1,0,4,0,Misreporting could be justifiable if it was an honest mistake while selecting the percentages on the scrollbar. It would also be justifiable if one was distracted and put the wrong answer without catching the mistake.,,654fbd224eaf197c8678bd57,APPROVED,2024-08-29T17:01:41.431000Z,2024-08-29T17:06:34.471000Z,1061,28,Female,Asian,United States,United States,United States,Vietnamese,No,Full-Time,,50,10,0.6,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,15,jvdeeprg,666ba1e3595532849ff95f48,Debrief,,cjz1zksm,15,666ba1e3595532849ff95f48,1,10000,6,3,60,10,6,,1,Treatment1,0,6,,10,5,20,70,1,0,,,,,,,,,,,11,29,28,45,0,6,0,If someone lies on an important topic that can help a cure or be the solution to an important problem. If someone lies about information on themselves or on the information that was given to them and defeats the purpose of using your knowledge in taking surveys.,,666ba1e3595532849ff95f48,APPROVED,2024-08-29T17:02:58.323000Z,2024-08-29T17:11:58.580000Z,54,23,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,60,10,0.7,,,,
24_0829_Treat1_1_20_NoBFI_Locus_0.95,16,u7jh6o1o,66d09071e8c65b7f5debc3cd,Debrief,,cjz1zksm,16,66d09071e8c65b7f5debc3cd,1,10000,12,1,30,52,3,,1,Treatment1,0,7,,10,5,31,40,2,0,,,,,,,,,,,0,2,0,0,0,10,0,one somewhat justifiable situation would be if you somehow lost count during the experiment as restarting would be flipping the coin more then ten times and this would further dilute data on how many heads were flipped in this experiment,,66d09071e8c65b7f5debc3cd,APPROVED,2024-08-29T17:03:51.551000Z,2024-08-29T17:24:41.987000Z,2,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,30,10,0.4,,,,
